Сотрудник 1 	пекарь	        нет	                стройка	                        не пошло	        не женат	        81 231 234 567
Сотрудник 2	байкер	        нет	                стройка	                        не пошло	        не женат	        81 231 234 567
Сотрудник 3	рабочий	        нет	                стройка	                        не пошло	        не женат	        81 231 234 567
Сотрудник 4	программист	ННГУ им Лобачевского	стройка          	        не пошло	        не женат	        81 231 234 567
Сотрудник 5	бухгалтер	ННГУ им Лобачевского	стройка	                        не пошло	        не женат	        81 231 234 567
Сотрудник 6	инженер	        ННГУ им Лобачевского	стройка	                        не пошло	        не женат	        81 231 234 567
Сотрудник 7	учитель	        нет	                стройка	                        не пошло	        не женат	        81 231 234 567
Сотрудник 8	арихитектор	ННГУ им Лобачевского	стройка	                        не пошло	        не женат	        81 231 234 567
Сотрудник 9	разработчик ПО	ННГУ им Лобачевского	стройка	                        не пошло	        не женат	        81 231 234 567
Сотрудник 10	гонщик	        ННГУ им Лобачевского	стройка	                        не пошло	        не женат	        81 231 234 567
Сотрудник 11	космонафт	ННГУ им Лобачевского	стройка	                        не пошло	        не женат	        81 231 234 567
Сотрудник 12	военный	        нет	                стройка	                        не пошло	        не женат	        81 231 234 567
Сотрудник 13	библиотекарь	ННГУ им Лобачевского	стройка	                        не пошло	        не женат	        81 231 234 567
Сотрудник 14	медик	        ННГУ им Лобачевского	стройка	                        не пошло	        не женат	        81 231 234 567
Сотрудник 15	врач	        ННГУ им Лобачевского	стройка	                        не пошло	        не женат	        81 231 234 567
Сотрудник 16	программист	ННГУ им Лобачевского	стройка	                        не пошло	        не женат	        81 231 234 567
Сотрудник 17	программист	ННГУ им Лобачевского	стройка	                        не пошло	        не женат	        81 231 234 567
Сотрудник 18	программист	ННГУ им Лобачевского	стройка	                        не пошло	        не женат 	        81 231 234 567
Сотрудник 19	программист	ННГУ им Лобачевского	стройка	                        не пошло	        не женат	        81 231 234 567
Сотрудник 20	программист	ННГУ им Лобачевского	стройка	                        не пошло	        не женат	        81 231 234 567
Сотрудник 21	программист	ННГУ им Лобачевского	стройка	                        не пошло	        не женат	        81 231 234 567
Сотрудник 22	программист	ННГУ им Лобачевского	стройка	                        не пошло	        не женат	        81 231 234 567
Сотрудник 23	программист	ННГУ им Лобачевского	стройка	                        не пошло	        не женат	        81 231 234 567
Сотрудник 24	программист	ННГУ им Лобачевского	стройка	                        не пошло	        не женат	        81 231 234 567
Сотрудник 25	программист	ННГУ им Лобачевского	стройка	                        не пошло	        не женат	        81 231 234 567
Сотрудник 26	рабочий	        нет	                стройка	                        не пошло	        не женат	        81 231 234 567
